layer_index,parameter,shape,seeds,mean_gradient_nuclear_rank,mean_alignment_ratio_spectral_over_fro,mean_step_size_ratio_spectral_over_fro,mean_tail_accuracy_before,geomean_jvp_tail_drift_sq_ratio_spectral_over_fro,jvp_tail_drift_sq_ratio_ci95_low,jvp_tail_drift_sq_ratio_ci95_high,spectral_less_jvp_tail_drift_fraction,geomean_scaled_jvp_tail_drift_sq_ratio_spectral_over_fro,scaled_jvp_tail_drift_sq_ratio_ci95_low,scaled_jvp_tail_drift_sq_ratio_ci95_high,spectral_less_scaled_jvp_tail_drift_fraction,geomean_observed_tail_drift_sq_ratio_spectral_over_fro,observed_tail_drift_sq_ratio_ci95_low,observed_tail_drift_sq_ratio_ci95_high,spectral_less_observed_tail_drift_fraction,mean_tail_loss_increase_diff_spectral_minus_fro,tail_loss_increase_diff_ci95_low,tail_loss_increase_diff_ci95_high,mean_tail_accuracy_drop_diff_spectral_minus_fro,tail_accuracy_drop_diff_ci95_low,tail_accuracy_drop_diff_ci95_high,mean_linearization_relative_error_diff_spectral_minus_fro,linearization_relative_error_diff_ci95_low,linearization_relative_error_diff_ci95_high
11,layer3.0.conv1.weight,256x128x3x3,10,51.474732349449674,7.125964610365398,0.14258976410609767,0.36745,1.8464847540672462,1.7858835742164754,1.9091423406470598,0.0,0.0369169706354042,0.029972282734903637,0.04547076820772817,1.0,0.17393462809651947,0.14743059994602398,0.20520336254583924,1.0,-0.00021739006042480468,-0.0008648340342651264,0.000430053913415517,5.000000000000004e-05,-0.0001259153836997272,0.0002259153836997273,0.8049906313419342,0.6340251119759133,0.975956150707955
12,layer3.0.conv2.weight,256x256x3x3,10,53.67286631587932,7.287436924176157,0.1388504282157486,0.36745,2.0558657091888475,1.9597266499700168,2.1567210989773637,0.0,0.039155559196482274,0.03251876858185013,0.0471468595783463,1.0,0.14290278000093015,0.12688419490398248,0.16094364272435707,1.0,-0.00026078224182128905,-0.0009347724158978508,0.00041320793225527267,5.000000000000004e-05,-0.0001786666666666668,0.00027866666666666686,0.6247881174087524,0.4840017977674971,0.7655744370500077
13,layer3.0.downsample.0.weight,256x128x1x1,10,20.64064119820906,4.5262767851855585,0.22273220672692115,0.36745,1.4835310237530919,1.4247558233118462,1.5447308671614943,0.0,0.07298664543281465,0.06168467853514504,0.08635937704531119,1.0,0.18055748052358342,0.16958948638200147,0.19223481637057516,1.0,-0.00024774074554443357,-0.0008577504523923267,0.0003622689613034596,0.00020000000000000017,-1.668615296988613e-05,0.0004166861529698865,0.17891786694526673,0.1281135465556519,0.22972218733488156
14,layer3.1.conv1.weight,256x256x3x3,10,47.76762548106423,6.892132703945295,0.14594722816806413,0.36745,2.4472184910131047,2.297450784758268,2.606749351275697,0.0,0.05181705398988557,0.044507453070696604,0.060327133972950385,1.0,0.12629872281903007,0.11297040941258618,0.14119951825137872,1.0,-0.0002748250961303711,-0.0009247552538177585,0.0003751050615570163,0.0,-0.00025303491195221813,0.00025303491195221813,0.4560762941837311,0.3383150488577839,0.5738375395096782
15,layer3.1.conv2.weight,256x256x3x3,10,34.40157634189938,5.8493642369712,0.17196140827873968,0.36745,2.634393511290679,2.556593130997383,2.7145614560980116,0.0,0.07743579661351287,0.06831119321911339,0.08777921032554256,1.0,0.12347634542657641,0.11472830883228058,0.13289142004343227,1.0,-0.0003175973892211914,-0.0009669534584673792,0.0003317586800249964,0.00015000000000000012,-5.9168725089473096e-05,0.00035916872508947337,0.27062425911426546,0.21013850355386582,0.3311100146746651
16,layer4.0.conv1.weight,512x256x3x3,10,35.48254052189557,5.923754617000219,0.17087029714285096,0.36745,2.0617255726423784,1.996290092763351,2.129305932187202,0.0,0.059449341760575404,0.050004007077755194,0.07067882040473375,1.0,0.07992506135861703,0.06854270335916147,0.09319759974604021,1.0,-0.0003955602645874023,-0.0010759141834034707,0.0002847936542286659,5.000000000000004e-05,-0.0002581767169805159,0.00035817671698051595,0.36159777343273164,0.3011232043312609,0.4220723425342024
17,layer4.0.conv2.weight,512x512x3x3,10,35.233105896453935,5.909746234333263,0.17077238326117622,0.36745,2.0661509571947225,1.9683276238635192,2.1688359834819204,0.0,0.05969637551244061,0.0522984963798689,0.0681407209767137,1.0,0.06387821338238195,0.055531125331979805,0.07347998299208325,1.0,-0.00037376880645751954,-0.001018582864542706,0.0002710452516276668,-5.000000000000004e-05,-0.000321349712855324,0.00022134971285532392,0.1912752866744995,0.16825285807980578,0.21429771526919322
18,layer4.0.downsample.0.weight,512x256x1x1,10,14.377830313585596,3.780734491521005,0.26604435447907177,0.36745,1.6724547106511274,1.6498910475292017,1.6953269510541058,0.0,0.11768675334882131,0.10411149406740759,0.13303211175529697,1.0,0.12391736756411735,0.11027588806852011,0.13924634163435062,1.0,-0.00035669803619384763,-0.0009461745351033092,0.00023277846271561398,5.000000000000004e-05,-0.0001259153836997272,0.0002259153836997273,0.034579983353614806,0.026057092949774353,0.04310287375745526
19,layer4.1.conv1.weight,512x512x3x3,10,25.574531259326037,5.045250922820462,0.1991803084123025,0.36745,2.9759981763039645,2.719298288266972,3.2569303572094976,0.0,0.11747789104188776,0.10817203737181763,0.12758431124128275,1.0,0.11846984427097863,0.10926718239232416,0.12844756947421634,1.0,-0.0002376079559326172,-0.0007821302809386929,0.00030691436907345857,-0.00010000000000000009,-0.0002960000000000002,9.600000000000004e-05,0.10318088233470916,0.09219278500770811,0.11416897966171022
20,layer4.1.conv2.weight,512x512x3x3,10,25.22063274386452,5.014366472708367,0.2000326883513346,0.36745,2.577263675453709,2.472578143193054,2.686381448084548,0.0,0.10280773897335196,0.0922859971851146,0.11452908908392535,1.0,0.09609095111337373,0.0877646474215025,0.10520717802838872,1.0,-0.0001680135726928711,-0.0005813208704182808,0.0002452937250325386,0.0,0.0,0.0,0.22757868245244026,0.21779642363461088,0.23736094127026963
21,fc.weight,100x512,10,20.052696196708933,4.4469055434190095,0.22860082788320554,0.36745,3.1061322115364667,2.840999097970623,3.3960085810784673,0.0,0.1595416638307013,0.1416036321533069,0.17975204527459632,1.0,0.15954792769967732,0.14160887659571605,0.17975950268947719,1.0,-0.0001493692398071289,-0.0003630351204033078,6.429664078905003e-05,5.000000000000004e-05,-4.800000000000002e-05,0.0001480000000000001,-0.0018567621242254972,-0.0021270689412632676,-0.0015864553071877267
